ID,UniqueName,Is Auto Point,Story,PointBay,IsSpecial,X,Y,Z,Code,Envelope:QG2+(100/30-BSE-2E)/J-Max,Envelope:QG2+(100/30-BSE-2E)/J-Min,Envelope:QG1+(100/30-BSE-2E)/J-Max,Envelope:QG1+(100/30-BSE-2E)/J-Min,Max Compression,Max Tension
Base-2567,1281,No,Base,2567,No,106.9167,45.375,0,787c17c5-543a-4670-a990-3b3e73df1638,0,0,0,0,0,0
Base-2570,1205,No,Base,2570,No,156.25,108,0,c5ee1e6d-cc81-4171-b6e3-34e4032f7db3,205.222,-127.871,216.72,-116.373,216.72,-127.871
Base-2581,1206,No,Base,2581,No,146.9444,108,0,6855c9a0-4a17-4869-a049-5e222cdb407e,37.601,20.559,46.261,29.218,46.261,0
Base-2583,1207,No,Base,2583,No,150.0556,108,0,65525028-33c6-4f67-b19f-bd6e703fe190,44.139,17.516,53.32,26.697,53.32,0
Base-2606,2714,No,Base,2606,No,156.25,110.8333,0,bc1959b9-e4b2-43c8-bba6-d98dc66a0561,358.006,-368.074,356.636,-369.444,358.006,-369.444
Base-2626,1209,No,Base,2626,No,156.25,119.3333,0,a325a3c8-0ea2-476f-b45a-0743468293db,487.249,-388.421,501.98,-373.69,501.98,-388.421
Base-2627,1210,No,Base,2627,No,156.25,115.3333,0,338544a4-3ef7-4b12-9abe-2f68031e78fb,357.898,-255.706,372.838,-240.766,372.838,-255.706
Base-2644,1211,No,Base,2644,No,156.25,133.6667,0,36a4c690-0b88-4b5d-9583-635aacb99a63,228.179,-172.62,236.582,-164.217,236.582,-172.62
Base-2645,1212,No,Base,2645,No,156.25,123.6667,0,6da73969-3069-4b09-aa5a-9e2643af4ab6,118.766,-77.534,124.814,-71.486,124.814,-77.534
Base-2653,1213,No,Base,2653,No,156.25,128.6667,0,1baebdc2-9d76-4b22-8013-4fd9724f3e38,217.09,-144.221,227.841,-133.471,227.841,-144.221
Base-2662,1214,No,Base,2662,No,147.9723,133.6667,0,993a9fe4-1f08-44bb-b76d-d6537803b75c,208.049,-144.307,217.53,-134.826,217.53,-144.307
Base-2664,1215,No,Base,2664,No,152.1111,133.6667,0,7cbba115-df4d-4de9-a03d-9927a2728ef5,214.954,-153.272,224.177,-144.049,224.177,-153.272
Base-2780,1223,No,Base,2780,No,42.0833,161.1667,0,e118955a-2f91-4242-a1f1-e99587632b9f,71.613,41.726,88.97,59.083,88.97,0
Base-2781,1224,No,Base,2781,No,42.0833,177.8333,0,1f403450-e357-4ae2-baac-705973992d8f,148.866,-21.136,167.578,-2.425,167.578,-21.136
Base-2791,1226,No,Base,2791,No,271.4167,149.3333,0,14faa60b-77b6-4343-9a44-9c4f56676839,27.464,25.562,34.844,32.942,34.844,0
Base-2859,601,No,Base,2859,No,106.9167,14,0,b081cc77-1040-4a11-be50-e1a1a186732e,0,0,0,0,0,0
Base-2929,91,No,Base,2929,No,196.75,75.5,0,87f2d2b2-6f63-4cd4-8ec2-7f1d52392a35,113.936,-63.585,121.856,-55.665,121.856,-63.585
Base-3163,663,No,Base,3163,No,168.1667,91.5,0,e9ec55ca-f0a5-4516-919d-295ca022caa2,186.099,119.938,234.591,168.43,234.591,0
Base-1,1228,No,Base,1,No,168.1667,133.6667,0,783a2f95-af50-4217-b553-cd01907f3778,225.624,101.812,281.535,157.724,281.535,0
Base-29,1235,No,Base,29,No,111.0833,14,0,f4e877e8-e3aa-4b94-a9eb-e80d5b293e97,0,0,0,0,0,0
Base-30,1287,No,Base,30,No,120.75,36.125,0,c24baa55-30dd-4a56-959e-ac4f7fc627ce,0,0,0,0,0,0
Base-31,1236,No,Base,31,No,111.0833,36.125,0,12740482-4b2a-4893-a481-3ec861a94dc4,23.08,17.669,28.16,22.75,28.16,0
Base-32,1237,No,Base,32,No,111.0833,50,0,461cbcd2-92be-447f-8cba-7f0b29cc7dd3,39.102,-6.15,43.045,-2.208,43.045,-6.15
Base-57,2877,No,Base,57,No,271.4167,188.3333,0,8703b918-6ce8-4c38-b00b-f02be44ca4c3,69.063,68.32,90.798,90.055,90.798,0
Base-58,2879,No,Base,58,No,291.75,188.3333,0,1b935d6a-157b-4ce5-8bc4-e643811bc2a4,62.152,61.775,79.911,79.533,79.911,0
Base-59,2881,No,Base,59,No,319.5,188.3333,0,3282410f-a35e-40e9-a1f2-3f7992dd1d9e,59.676,59.538,76.354,76.216,76.354,0
Base-62,2883,No,Base,62,No,271.4167,165,0,6e26602e-00ab-4c21-ab4f-46f594117ef4,59.066,58.252,78.027,77.214,78.027,0
Base-64,2885,No,Base,64,No,291.75,165,0,f95e6777-eeaf-4142-857f-0dd4882615fe,49.818,49.582,64.247,64.011,64.247,0
Base-65,2887,No,Base,65,No,319.5,165,0,98e8b238-4841-43d8-8713-c2f6bce81167,49.579,49.441,63.439,63.3,63.439,0
Base-73,2889,No,Base,73,No,291.75,149.3333,0,fcaa5ea3-25f8-4d6e-82ec-03ed20d1e3c2,36.403,36.247,46.469,46.313,46.469,0
Base-74,2891,No,Base,74,No,319.5,149.3333,0,f74b00de-703a-4ab3-a1e0-fa07440b8cd6,40.035,39.763,51.188,50.916,51.188,0
Base-75,2893,No,Base,75,No,79.5833,210.1667,0,603790d4-d5bf-44d7-bd9d-13abc8e16ffd,37.979,37.831,48.486,48.338,48.486,0
Base-76,2895,No,Base,76,No,100.0833,210.1667,0,46461453-6195-448a-a25c-a62bd0a6eb7d,37.21,36.918,47.465,47.173,47.465,0
Base-77,2897,No,Base,77,No,128.75,210.1667,0,509edc42-bbbf-4438-a0fd-66165c6c0451,44.339,43.785,56.528,55.974,56.528,0
Base-78,2899,No,Base,78,No,156.25,210.1667,0,3dc850f4-82a9-46a2-8629-9d6d469c77e7,39.852,39.316,50.807,50.271,50.807,0
Base-79,2901,No,Base,79,No,180.3333,210.1667,0,82af8a34-b5e8-446c-be4a-40c5fda508f8,40.07,38.836,50.993,49.759,50.993,0
Base-80,2903,No,Base,80,No,79.5833,165,0,0f310ca8-c309-4fc0-addd-4e94cd8c20d8,156.919,155.26,216.74,215.081,216.74,0
Base-81,2905,No,Base,81,No,79.5833,149.3333,0,b5c8199d-dc3b-4de8-b3ba-93ea8aefa7f5,121.344,121.268,167.898,167.822,167.898,0
