ID,UniqueName,Is Auto Point,Story,PointBay,IsSpecial,X,Y,Z,Code,Envelope:QG2+(100/30-BSE-2E)/J-Max,Envelope:QG2+(100/30-BSE-2E)/J-Min,Envelope:QG1+(100/30-BSE-2E)/J-Max,Envelope:QG1+(100/30-BSE-2E)/J-Min,Max Compression,Max Tension
Base-1909,1098,No,Base,1909,No,11.2083,195.0833,0,c609273c-e31e-4f4b-9721-4266f4bd0e65,27.6,3.043,31.752,7.195,31.752,3.043
Base-1910,1099,No,Base,1910,No,16.8125,195.0833,0,5f511ad4-6a73-4bda-8eea-5652e1dadddf,23.426,9.632,27.847,14.053,27.847,9.632
Base-1915,1100,No,Base,1915,No,34.0833,195.0833,0,8a7b3523-820b-49eb-b0c1-a27881127984,38.705,-3.895,43.364,0.763,43.364,-3.895
Base-1916,1101,No,Base,1916,No,40.5,195.0833,0,67744fc5-e771-4a4e-801d-b4060022db90,41.358,-17.796,44.348,-14.806,44.348,-17.796
Base-1919,1102,No,Base,1919,No,50.9167,210.1667,0,f5b87305-661a-49f2-b8a5-2e92012f6564,84.909,-51.24,89.52,-46.629,89.52,-51.24
Base-1920,1103,No,Base,1920,No,50.9167,188.3333,0,3aee8058-1a7a-4ae9-8012-5d4c80b0439f,111.486,-25.24,123.721,-13.005,123.721,-25.24
Base-1924,1104,No,Base,1924,No,50.9167,214.6667,0,c5b0d2e8-3506-4394-a9a9-227b6b6673bb,79.339,-62.208,81.782,-59.764,81.782,-62.208
Base-1930,1105,No,Base,1930,No,50.9167,195.6111,0,6482bd99-fc08-476e-9088-d31e34fa91e6,124.327,-37.344,136.538,-25.133,136.538,-37.344
Base-1931,1106,No,Base,1931,No,50.9167,202.8889,0,540ffd15-0e56-4051-b8d6-cbf450c0b8b3,116.619,-50.439,125.851,-41.207,125.851,-50.439
Base-1940,1107,No,Base,1940,No,50.9167,180.3333,0,3a25bb11-e461-42e3-a2df-23a5687e926a,59.353,-6.444,66.803,1.007,66.803,-6.444
Base-1949,1108,No,Base,1949,No,50.9167,165,0,b976d08f-fea6-4780-8c1b-0f6ebbc5c555,84.426,31.949,101.799,49.321,101.799,31.949
Base-1957,1109,No,Base,1957,No,143.8333,110.3333,0,d39d5a5a-91fa-4c45-ad25-1030f5e706a8,67.905,7.044,79.021,18.16,79.021,7.044
Base-1962,1110,No,Base,1962,No,143.8333,114.1667,0,5ab16851-7729-4bc6-a99d-3f37e76b66f2,160.979,-52.254,177.071,-36.162,177.071,-52.254
Base-1974,1111,No,Base,1974,No,50.9167,162,0,1125ad69-4694-439f-b2a6-405d6aae7a01,43.906,30.824,55.065,41.982,55.065,30.824
Base-1985,1112,No,Base,1985,No,50.9167,155.1667,0,8e1f2fc9-479a-4f18-9675-cdd433f0f779,57.842,33.293,71.725,47.176,71.725,33.293
Base-1995,1113,No,Base,1995,No,50.9167,158.8333,0,d194b40e-7bac-46dc-abe0-067a0ae74080,57.539,28.953,70.677,42.091,70.677,28.953
Base-2010,1114,No,Base,2010,No,50.9167,151.1667,0,68fd23de-c555-4510-95f4-03011958ac99,55.099,50.656,71.336,66.893,71.336,50.656
Base-2021,1115,No,Base,2021,No,50.9167,146.9167,0,5ae060fd-1444-4a7b-bcb8-0af79819cb22,83.228,38.202,101.996,56.971,101.996,38.202
Base-2032,1116,No,Base,2032,No,50.9167,141.9167,0,dba16659-e5a7-4fe9-a624-f3c1ef95fc5b,94.796,30.312,114.229,49.744,114.229,30.312
Base-2043,1117,No,Base,2043,No,50.9167,133.6667,0,7e0b11e3-ed2b-4be9-86da-5394b8dae031,107.098,-3.306,123.199,12.796,123.199,-3.306
Base-2054,1118,No,Base,2054,No,50.9167,128.9167,0,30706399-ca76-4672-8d38-363c8b805e9d,152.63,-22.87,172.827,-2.673,172.827,-22.87
Base-2066,1119,No,Base,2066,No,50.9167,120.9167,0,56eb28ec-edb0-4ec6-8803-d4607e2e1a10,149.124,-36.781,166.46,-19.445,166.46,-36.781
Base-2077,1120,No,Base,2077,No,50.9167,118.9167,0,ddf9ec0d-8e68-4a77-9b37-c6bf43ebab60,215.753,-91.16,234.548,-72.365,234.548,-91.16
Base-2090,1121,No,Base,2090,No,50.9167,137.7917,0,14f79c60-df27-4e56-ad39-8881928f4b9e,120.557,-10.293,137.781,6.931,137.781,-10.293
Base-2103,1122,No,Base,2103,No,50.9167,124.9167,0,1e5a076b-03ab-4d05-b513-737958e9d4bb,132.92,-38.848,147.382,-24.385,147.382,-38.848
